rn,video_id,owner_id,manual_category,manual_category_l2,total_vv
253,7hdyyGhza1JBXaasC,1589018251451416,情感,两性情感小剧场,2346371
254,7d5RiLyJk1Jz9ieST,1574494562501962,生活,生活随拍,2335311
255,72orHeUg51JCgVCtb,1536812548482469,亲子,亲子互动,2321308
256,72orHeUg51JCgVCtb,1536812548482469,亲子,搞笑儿童,2321308
257,7cWLvLotO1JBh4avi,1573978055637680,情感,两性情感小剧场,2319018
258,7dleeMCjM1JBjxQzL,1575367578237634,搞笑,逗比,2317295
259,7b2C98w1E1JBpAvbY,1567267048298102,搞笑,逗比,2314819
260,77830ObOF1JBiqVYm,1553489203582721,明星名人,娱乐明星,2313618
261,7gqL0Kqop1JDyCjHY,1586246448226433,搞笑,生活趣事,2308610
262,76lHnr6Mw1JDNTO4p,1550742971707216,明星名人,娱乐明星,2308044
263,7csbNx2Dk1JAei7Yo,1572241330341686,汽车/摩托车,摩托车,2308034
264,76K6mBjRN1JwCOAUY,1552129068339275,搞笑,恶搞整蛊,2305217
265,77MXDEuGf1JCjlofy,1555813090411011,影视综艺,综艺节目,2295533
266,7fXzBh30e1JBI1LgG,1584588787523522,知识,科普/冷知识,2294910
267,77xIp6whV1JB4o2RV,1554947129919095,搞笑,生活趣事,2294425
268,7hoBt68QV1JDbGxP7,1589645719946353,三农,农业生产养殖,2291281
269,7hoBt68QV1JDbGxP7,1589645719946353,运动,其他,2291281
270,6YKufq3Tu1JDET3EX,1523978032560220,颜值,美女,2286851
271,773pDjph01Jz9SNcI,1553225926267770,明星名人,网红,2285953
272,7akbq4XSy1JD5oNdi,1564743352697410,生活,生活随拍,2284428
273,7ckmph6sO1JzU87dG,1571796647487578,搞笑,逗比,2281802
274,74c91SnYu1JD1gZ5A,1543157073279810,生活,生活随拍,2279841
275,7ctVAV8Mb1JBGKTcH,1572340086338659,生活技巧,生活窍门,2277935
276,75yK5vlRE1JDQn3yP,1547962243599338,工业/机械/施工,建筑施工,2275032
277,7dl75WZkv1JEasdPq,1575361034792523,生活,生活随拍,2272864
278,7h8JdTswB1JCkSlbi,1588744020571981,生活,生活随拍,2267815
279,73vWh9FXB1JDq63CA,1540759779424219,亲子,亲子互动,2266101
280,7ctVAV8Mb1JAYhu7V,1572340086338659,三农,农业生产养殖,2263407
281,77EfFkcj81JDniRk8,1555318403397218,影视综艺,影视片段,2253384
282,7cORACKbI1JDqouuv,1573529222370174,生活,生活随拍,2244615
283,7gx6WvDcl1JDU54xB,1586607341931201,知识,科普/冷知识,2236346
284,7aq8fbR0E1JEv5xBG,1565081244814612,生活技巧,生活窍门,2230841
285,7cAuwvFbs1JDxqmch,1572712887223986,新闻资讯,社会民生,2230742
286,7cnSmj9ca1JDSVMKu,1571996320603102,新闻资讯,社会民生,2226297
287,7fZEijnCz1JumYzdJ,1584706688464379,动物,其他动物,2225160
288,74c6YzeXZ1JCJTFae,1543155192122279,影视综艺,影视片段,2220234
289,7dSsuUVNA1JwEEqNu,1577255050274438,搞笑,恶搞整蛊,2215300
290,7dBIZcKKn1JD2Gozj,1576304551932323,亲子,亲子互动,2205118
